State,Day,Value
SK,6,132
SK,3,136
SK,7,121
SK,4,100
SK,2,106
SK,1,90
SK,5,135
BT,6,247
BT,3,229
BT,7,219
BT,4,245
BT,5,236
BT,1,193
BT,2,223
SA,6,62
SA,3,48
SA,7,46
SA,4,57
SA,5,62
SA,1,33
SA,2,52
LD,6,293
LD,3,290
LD,7,265
LD,4,277
LD,2,265
LD,1,225
LD,5,242
L,6,329
L,3,301
L,7,292
L,4,297
L,5,317
L,1,230
L,2,278
MK,6,454
MK,3,409
MK,7,361
MK,4,399
MK,2,388
MK,1,348
MK,5,443
KW,6,32
KW,3,24
KW,7,28
KW,4,39
KW,2,32
KW,1,33
KW,5,19
SS,6,292
SS,3,246
SS,7,235
SS,4,276
SS,5,272
SS,1,209
SS,2,277
CH,6,423
CH,3,416
CH,7,394
CH,4,403
CH,2,349
CH,1,315
CH,5,390
HS,6,450
HS,3,430
HS,7,345
HS,4,415
HS,2,391
HS,1,315
HS,5,432
ME,6,213
ME,3,181
ME,7,180
ME,4,198
ME,2,187
ME,1,139
ME,5,191
LU,6,204
LU,3,164
LU,7,169
LU,4,192
LU,5,171
LU,1,135
LU,2,169
EC,6,182
EC,3,192
EC,7,180
EC,4,176
EC,2,179
EC,1,151
EC,5,182
CT,6,154
CT,3,150
CT,7,142
CT,4,140
CT,2,131
CT,1,111
CT,5,141
PA,6,396
PA,3,326
PA,7,280
PA,4,329
PA,5,365
PA,1,267
PA,2,333
KY,6,248
KY,3,258
KY,7,209
KY,4,232
KY,2,231
KY,1,179
KY,5,246
CO,6,372
CO,3,369
CO,7,325
CO,4,384
CO,5,367
CO,1,276
CO,2,321
WA,6,416
WA,3,356
WA,7,353
WA,4,348
WA,2,353
WA,1,261
WA,5,402
TW,6,321
TW,3,242
TW,7,260
TW,4,325
TW,5,290
TW,1,205
TW,2,274
OL,6,154
OL,3,152
OL,7,124
OL,4,157
OL,5,145
OL,1,128
OL,2,145
RG,6,175
RG,3,166
RG,7,165
RG,4,171
RG,5,177
RG,1,139
RG,2,177
GU,6,169
GU,3,165
GU,7,157
GU,4,151
GU,5,161
GU,1,162
GU,2,182
HX,6,264
HX,3,238
HX,7,229
HX,4,250
HX,5,258
HX,1,207
HX,2,229
KT,6,352
KT,3,326
KT,7,310
KT,4,283
KT,2,333
KT,1,226
KT,5,358
HU,6,187
HU,3,159
HU,7,153
HU,4,179
HU,2,157
HU,1,138
HU,5,170
DN,6,88
DN,3,89
DN,7,71
DN,4,90
DN,2,88
DN,1,58
DN,5,100
YO,6,301
YO,3,280
YO,7,290
YO,4,275
YO,2,277
YO,1,223
YO,5,253
HR,6,244
HR,3,210
HR,7,215
HR,4,237
HR,5,224
HR,1,185
HR,2,234
DL,6,237
DL,3,214
DL,7,201
DL,4,191
DL,2,211
DL,1,202
DL,5,222
SW,6,128
SW,3,128
SW,7,128
SW,4,122
SW,2,131
SW,1,101
SW,5,132
