vehicle_type,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),age_of_vehicle,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,urban_or_rural_area,sex_of_casualty
3,2,27,6,50,8,3,2,1,5,3,40,1,2
9,1,24,5,1398,1,3,1,1,5,3,30,1,1
9,1,25,5,1686,8,3,2,1,5,3,30,1,1
9,2,23,5,999,1,3,5,1,4,6,30,1,2
9,2,48,8,1242,8,3,2,1,7,6,30,1,2
9,1,41,7,1896,7,3,2,1,4,6,20,1,1
9,1,32,6,1396,11,2,1,1,1,6,30,1,1
9,2,33,6,1390,3,3,2,1,1,6,20,1,2
9,2,25,5,1229,10,3,2,1,5,3,70,1,2
9,2,65,9,998,8,3,2,1,6,6,30,1,2
9,1,51,8,1997,2,3,3,2,5,3,40,1,1
9,1,37,7,998,1,3,3,2,5,3,40,1,1
9,1,40,7,1198,10,3,3,1,3,6,30,1,1
9,1,31,6,2148,6,3,2,1,2,9,30,1,1
3,1,17,4,125,5,3,2,1,4,6,30,1,1
11,1,68,10,9360,6,3,2,3,2,6,30,1,2
11,1,68,10,9360,6,3,2,3,2,6,30,1,2
11,1,68,10,9360,6,3,2,3,2,6,30,1,2
5,1,30,6,599,15,3,2,1,1,1,30,2,1
9,1,26,6,1598,8,3,2,2,7,3,30,1,1
9,1,26,6,1598,8,3,2,2,7,3,30,1,1
9,2,44,7,1560,1,3,2,1,4,6,30,1,2
9,2,30,6,1363,13,3,1,1,5,6,20,1,2
9,2,50,8,1242,3,3,2,1,5,6,20,1,2
3,1,26,6,125,2,3,2,1,4,6,30,1,1
9,2,41,7,1360,12,3,2,1,1,6,30,1,2
9,2,74,10,1197,1,3,2,1,5,6,30,2,2
9,1,21,5,2148,10,2,1,2,4,6,30,1,1
9,1,21,5,2148,10,2,1,2,4,6,30,1,2
9,2,92,11,1124,19,3,2,1,4,6,30,1,2
9,2,65,9,1995,3,3,1,1,5,6,30,1,1
9,1,57,9,1747,16,3,4,4,6,3,50,1,1
9,1,37,7,1461,1,3,4,4,6,3,50,1,1
9,1,68,10,1229,3,3,4,4,6,3,50,1,1
9,2,32,6,1200,2,3,2,2,4,6,30,1,2
9,2,32,6,1200,2,3,2,2,4,6,30,1,1
9,1,55,8,898,1,3,1,1,7,6,30,1,1
9,1,24,5,1686,8,3,2,2,2,6,30,1,1
9,1,24,5,1686,8,3,2,2,2,6,30,1,2
5,1,49,8,1157,9,2,2,1,6,6,30,1,1
9,1,27,6,1242,9,3,1,1,2,6,30,1,2
3,1,40,7,124,5,3,2,1,5,3,40,1,1
9,2,30,6,1968,1,3,2,1,6,3,50,1,2
3,1,26,6,124,5,2,2,1,1,6,30,1,1
3,1,55,8,124,1,3,2,1,1,6,30,1,1
9,1,33,6,1329,2,3,1,1,3,6,30,1,2
5,1,37,7,649,1,2,2,2,4,3,30,2,1
5,1,37,7,649,1,2,2,2,4,3,30,2,2
3,1,17,4,124,4,3,2,1,4,6,30,1,1
19,1,23,5,2287,4,3,2,1,6,3,30,1,1
9,1,28,6,2993,3,3,2,2,7,6,30,1,1
9,1,28,6,2993,3,3,2,2,7,6,30,1,2
9,1,30,6,2987,9,3,2,3,5,3,30,1,1
9,1,27,6,1968,8,3,2,3,5,3,30,1,1
9,1,27,6,1968,8,3,2,3,5,3,30,1,2
3,1,49,8,125,2,2,1,1,5,6,30,1,2
9,2,68,10,1242,12,3,1,1,1,6,30,1,2
8,1,47,8,1968,2,3,1,1,1,6,30,1,1
9,2,28,6,1896,13,3,2,2,6,6,30,1,2
2,1,23,5,124,1,2,2,1,7,6,30,1,1
5,1,38,7,929,14,3,2,1,1,6,30,1,1
9,1,32,6,1781,13,3,2,1,3,6,30,1,1
19,1,30,6,2198,7,3,1,1,5,6,30,1,2
9,2,65,9,1198,4,3,3,1,3,6,30,1,2
9,1,24,5,899,1,3,1,1,3,6,30,1,1
9,2,28,6,1248,7,3,2,1,2,6,30,1,2
9,2,42,7,1242,1,3,3,1,3,6,20,1,2
9,1,21,5,1499,10,3,2,2,5,3,30,1,1
9,1,42,7,1275,19,3,3,1,7,6,30,1,1
9,2,24,5,2995,9,3,2,3,2,6,30,1,2
9,2,24,5,2995,9,3,2,3,2,6,30,1,2
9,1,50,8,1995,6,3,2,3,2,6,30,1,1
9,1,87,11,989,15,3,2,1,4,6,30,1,1
3,1,38,7,125,2,3,2,1,5,6,50,1,1
9,2,59,9,1398,1,3,3,1,6,6,30,1,2
9,1,28,6,1149,12,3,2,1,1,6,30,1,1
9,2,61,9,1388,5,3,3,2,7,3,50,1,2
9,2,61,9,1388,5,3,3,2,7,3,50,1,2
9,1,53,8,1560,5,3,2,1,1,6,30,1,2
9,1,46,8,1968,2,3,1,1,4,6,30,1,2
10,1,46,8,2402,10,2,1,1,7,6,30,1,1
19,1,45,7,2198,4,3,2,3,7,6,20,1,1
9,1,31,6,1560,4,3,2,1,3,6,30,1,1
9,2,33,6,1120,16,3,1,1,1,6,30,1,2
9,1,71,10,1598,2,3,2,1,3,3,30,1,1
9,2,35,6,2993,2,3,2,1,2,3,30,1,2
9,1,30,6,1753,14,3,2,2,1,6,30,1,1
9,1,30,6,1753,14,3,2,2,1,6,30,1,1
9,2,20,4,1229,8,3,2,1,5,6,30,1,1
9,1,45,7,1685,2,3,3,1,3,3,50,1,2
9,1,29,6,1781,12,3,2,1,7,6,30,1,1
3,1,37,7,124,2,2,2,1,1,6,30,1,1
9,1,73,10,1198,6,2,1,1,2,6,30,1,1
9,2,64,9,796,14,1,2,3,3,6,50,2,2
9,2,64,9,796,14,1,2,3,3,6,50,2,2
9,1,52,8,1968,2,1,2,3,3,6,50,2,1
9,1,51,8,1995,2,3,1,1,5,6,30,1,2
9,1,48,8,2720,7,2,1,1,5,6,30,1,2
9,2,48,8,1598,3,3,2,1,5,3,40,1,2
3,1,42,7,125,8,3,2,1,2,6,30,1,1
9,2,59,9,1497,10,2,1,1,6,6,30,1,1
9,1,45,7,1997,10,3,1,1,5,6,30,1,2
8,1,48,8,1461,4,3,1,1,7,6,20,1,1
9,1,24,5,1896,7,3,2,3,2,6,30,1,1
9,1,42,7,1781,13,3,2,3,2,6,30,1,1
9,1,42,7,1781,13,3,2,3,2,6,30,1,2
9,1,79,11,1596,11,3,2,1,6,6,30,1,2
8,1,56,9,995,5,3,2,2,3,3,30,1,1
8,1,56,9,995,5,3,2,2,3,3,30,1,1
11,1,54,8,4461,2,3,1,1,3,3,20,1,2
9,2,47,8,1968,1,3,2,1,4,3,30,1,2
9,1,18,4,1229,5,3,2,1,1,6,30,1,1
9,2,44,7,1598,2,3,2,1,1,6,30,1,2
9,1,28,6,2996,8,3,2,2,5,3,30,1,2
9,1,54,8,1560,7,3,2,2,5,3,30,1,1
9,2,32,6,1582,3,3,1,1,6,6,30,1,1
21,1,60,9,12809,1,2,1,1,3,6,50,2,1
3,1,39,7,124,1,3,2,1,6,1,30,1,1
8,1,35,6,1995,6,3,2,2,1,6,30,1,1
8,1,35,6,1995,6,3,2,2,1,6,30,1,2
5,1,30,6,498,14,3,2,1,2,1,30,1,1
5,1,22,5,600,12,2,1,1,5,6,30,1,1
9,2,18,4,998,16,1,1,1,7,6,30,1,2
9,1,25,5,1995,5,3,1,1,5,6,30,1,2
9,2,41,7,1997,12,3,1,1,7,3,30,1,1
9,1,69,10,999,5,3,1,1,6,6,20,1,2
9,2,65,9,1299,13,3,3,2,7,6,30,1,2
9,1,51,8,998,9,3,3,2,7,6,30,1,1
4,1,22,5,125,1,3,2,1,7,6,30,1,1
9,2,58,9,1685,1,3,2,1,5,3,30,1,2
9,1,39,7,1910,7,3,3,1,7,3,40,1,2
9,2,40,7,1598,3,3,2,1,4,6,30,1,2
3,1,25,5,124,5,3,2,1,4,6,30,2,1
9,2,53,8,998,2,3,1,1,2,6,30,1,2
8,1,33,6,1598,3,3,3,1,3,6,20,1,1
9,2,26,6,1349,5,3,3,3,5,6,30,1,2
9,2,47,8,1591,2,3,3,3,5,6,30,1,2
9,2,47,8,1591,2,3,3,3,5,6,30,1,2
5,1,32,6,599,11,3,2,1,4,3,30,1,1
9,1,21,5,1197,2,3,1,4,1,6,30,1,1
9,1,21,5,1197,2,3,1,4,1,6,30,1,2
9,1,21,5,1197,2,3,1,4,1,6,30,1,2
9,1,21,5,1197,2,3,1,4,1,6,30,1,2
9,1,75,10,1242,17,3,1,1,1,1,40,1,2
9,1,19,4,973,14,3,3,6,1,6,30,1,1
9,1,19,4,973,14,3,3,6,1,6,30,1,1
9,1,48,8,1896,8,3,3,6,1,6,30,1,1
9,1,48,8,1896,8,3,3,6,1,6,30,1,2
9,1,48,8,1896,8,3,3,6,1,6,30,1,1
9,1,47,8,1591,3,3,3,6,1,6,30,1,1
3,1,22,5,124,3,3,2,1,5,6,30,1,1
9,1,34,6,1796,11,3,1,1,7,6,30,1,2
5,1,64,9,1470,12,3,2,1,3,6,30,1,1
9,1,33,6,1796,11,3,2,1,2,6,30,1,1
9,2,40,7,1598,6,3,2,1,4,6,30,1,2
9,1,43,7,1686,6,3,2,1,5,6,30,1,1
3,1,20,4,124,3,3,2,1,2,6,30,1,1
9,2,43,7,1242,5,3,2,2,3,6,30,1,2
9,2,43,7,1242,5,3,2,2,3,6,30,1,1
9,1,78,11,1498,7,3,1,1,2,6,30,1,2
9,1,22,5,1870,10,3,2,2,1,6,30,1,1
9,1,53,8,2499,11,3,2,2,1,6,30,1,2
9,2,37,7,1242,3,3,3,2,4,2,30,1,2
9,2,43,7,1590,16,3,3,2,4,2,30,1,2
9,2,24,5,1999,7,3,2,1,4,3,30,1,2
9,1,23,5,1910,8,3,2,1,1,6,30,1,1
9,2,35,6,1388,13,3,3,1,6,6,30,1,2
9,2,27,6,1000,2,3,2,1,2,6,20,1,2
19,1,59,9,1868,9,2,2,1,2,6,30,1,1
9,2,48,8,1242,2,3,1,1,3,6,30,1,2
8,1,44,7,1797,4,2,1,1,7,6,30,1,1
3,1,25,5,124,12,2,2,1,6,6,30,1,1
9,2,42,7,1596,11,3,2,1,1,3,40,1,2
9,1,68,10,1587,6,3,3,3,3,6,30,1,2
9,2,43,7,1598,10,3,3,3,3,6,30,1,2
9,2,27,6,1397,12,3,1,1,6,6,30,1,2
9,1,26,6,1797,16,2,5,5,6,6,30,1,1
9,1,21,5,1242,4,2,5,5,6,6,30,1,1
9,1,21,5,1242,4,2,5,5,6,6,30,1,2
9,2,40,7,1461,4,2,5,5,6,6,30,1,2
9,2,40,7,1461,4,2,5,5,6,6,30,1,2
3,1,18,4,125,8,3,2,1,3,6,30,1,1
9,1,28,6,1781,13,2,2,2,1,6,30,1,1
8,1,67,10,1997,1,2,2,2,1,6,30,1,1
9,2,36,7,1598,5,3,2,1,6,6,30,1,2
9,2,30,6,1229,5,3,2,3,3,6,30,1,2
9,2,30,6,1229,5,3,2,3,3,6,30,1,1
9,2,30,6,998,1,3,2,3,3,6,30,1,2
9,1,31,6,1242,11,3,2,3,2,6,30,1,1
9,1,31,6,1242,11,3,2,3,2,6,30,1,1
9,1,25,5,1968,11,3,2,3,2,6,30,1,2
9,2,44,7,1598,6,2,3,1,6,6,30,1,2
9,1,53,8,1994,12,3,2,3,7,6,30,1,1
9,1,53,8,1994,12,3,2,3,7,6,30,1,2
9,1,22,5,1896,14,3,2,3,7,6,30,1,1
9,1,40,7,1560,3,3,1,1,2,6,30,1,2
